field_name	field_location	data_type	units	field_description	allowable_enumeration
metadata_index	metadata	string		A unique number for this building ID and upgrade ID combination which can be used for loading databases in chunks	""
bldg_id	metadata	integer		ID number for model	""
upgrade	metadata	string		ID of upgrade including 00 for Baseline	""
weight	metadata	float		The number of real buildings that this model represents in the U.S. building stock	""
in.sqft	metadata	float	ft2	Building total floor area	""
calc.weighted.sqft	metadata	float	ft2	The floor area that this model represents in the U.S. building stock. Summing across all models should match CBECS totals by building type.	""
in.upgrade_name	metadata	string		Name of upgrade if an upgrade was run	Package 2, LED Lighting + HP RTU or HP Boilers|Baseline|Wall Insulation|Package 3, Package 1 + Package 2|Roof Insulation|VRF with DOAS|DOAS HP Minisplits|HP RTU, Electric Backup|Secondary Windows|HP RTU, Original Heating Fuel Backup|Window Film|HP Boiler, Electric Backup|New Windows|HP Boiler, Gas Backup|Energy Recovery|Demand Control Ventilation|Package 1, Wall & Roof Insulation + New Windows|LED Lighting
applicability	metadata	boolean		Specifies if an upgrade measure was applicable to model if an upgrade was run	""
in.building_america_climate_zone	metadata	string		DOE Building America climate zone	Mixed-Dry|Marine|Hot-Humid|Mixed-Humid|Very Cold|Subarctic|Hot-Dry|Cold
in.cambium_grid_region	metadata	string		Specifies Cambium grid region	AKGD|NEWEc|SPNOc|SRTVc|AKMS|RFCEc|FRCCc|AZNMc|RFCMc|MROEc|HIMS|SPSOc|HIOA|NYSTc|SRMVc|CAMXc|SRVCc|SRMWc|ERCTc|RFCWc|NWPPc|RMPAc|SRSOc|MROWc
in.census_division_name	metadata	string		Census division name	New England|South Atlantic|East North Central|West North Central|Middle Atlantic|East South Central|Pacific|Mountain|West South Central
in.census_region_name	metadata	string		Census region name	Midwest|South|West|Northeast
in.cluster_id	metadata	integer		The identified for the geographic cluster ComStock uses to group together areas with similar building stocks	""
in.cluster_name	metadata	string		The name for the geographic cluster ComStock uses to group together areas with similar building stocks	the Tallahassee-Valdosta Area|Rural Upper Michigan, Door and Marinette Counties|Rural Climate Zone 3A|CA Climate Zone 7|the Evansville and the Shawnee National Forest Area|the Greater New York City Area|Rural Midwest Climate Zone 6A|the Greater Columbia-Fayetteville-Jefferson City-Joplin-Springfield-Wichita Areas|CA Climate Zone 8|Amarillo-Lubbock-Abilene-Midland-San Angelo|...too many to list
in.county_name	metadata	string		State abbreviation and county name	TX, Waller County|IN, Martin County|UT, Sevier County|MT, Custer County|AZ, Navajo County|IN, Perry County|MT, Granite County|TN, Lawrence County|IN, Clark County|KS, Morton County|...too many to list
in.iso_rto_region	metadata	string		Electric system ISO/RTO region	ERCOT|CAISO|PJM|SPP|NEISO|MISO|NYISO
in.nhgis_county_gisjoin	metadata	string		County identified, according to format of https://www.nhgis.org/geographic-crosswalks#details	G4804170|G0800190|G1302990|G3500280|G0500830|G1700670|G1300350|G3700910|G4600910|G4700230|...too many to list
in.nhgis_puma_gisjoin	metadata	string		Census PUMA identifier, according to format of https://www.nhgis.org/geographic-crosswalks#details	G17003413|G06007318|G42003204|G36001700|G48002318|G06007303|G13003102|G17000401|G22002100|G46000200|...too many to list
in.nhgis_tract_gisjoin	metadata	string		Census tract identifier, according to format of https://www.nhgis.org/geographic-crosswalks#details	G4100190100000|G0600370551101|G3600590409900|G2500210422502|G2101110003600|G0600610020602|G1200330003610|G0100010020500|G1302930010500|G1200610050402|...too many to list
in.reeds_balancing_area	metadata	string		Balancing area ID for the NREL ReEDS modeling tool	""
in.state	metadata	string		Postal abbreviation of state	RI|WA|NM|DE|IA|MN|WV|NY|DC|AL|...too many to list
in.state_name	metadata	string		Full name of state	Georgia|Wyoming|Tennessee|North Dakota|Louisiana|Montana|Arizona|Maine|Arkansas|Nebraska|...too many to list
in.airtightness	metadata	float	m3_per_m2_s	6-sided air leakage rate at 75 Pa	""
