model,feature,data_type,units,description,allowable,user_input_guidance
ResStock,in.hvac_cooling_type,string,n/a,Presence and type of cooling system,Central AC|Ducted Heat Pump|Non-Ducted Heat Pump|None|Room AC,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.energystar_climate_zone_2023,string,n/a,"Climate zones for windows, doors, and skylights per EnergyStar guidelines as of 2023",North-Central|Northern|South-Central|Southern,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.misc_pool_heater,string,n/a,Presence and fuel type of pool heater,Electricity|Natural Gas|None|Other Fuel,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.overhangs,string,n/a,"Presence, depth, and location of window overhangs",None,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.geometry_space_combination,string,n/a,"Valid combinations of building type, building level mf, attic, foundation, and garage","Mobile Home, Ambient, No Attic, No Garage|Multi-Family with 2 - 4 Units Bottom Unit, Slab, No Attic, No Garage|Multi-Family with 2 - 4 Units Bottom Unit, Unheated Basement, No Attic, No Garage|Multi-Family with 2 - 4 Units Bottom Unit, Unvented Crawlspace, No Attic, No Garage|Multi-Family with 2 - 4 Units Bottom Unit, Vented Crawlspace, No Attic, No Garage|Multi-Family with 2 - 4 Units Middle Unit, Slab, No Attic, No Garage|Multi-Family with 2 - 4 Units Middle Unit, Unheated Basement, No Attic, No Garage|Multi-Family with 2 - 4 Units Middle Unit, Unvented Crawlspace, No Attic, No Garage|Multi-Family with 2 - 4 Units Middle Unit, Vented Crawlspace, No Attic, No Garage|Multi-Family with 2 - 4 Units Top Unit, Slab, No Attic, No Garage|Multi-Family with 2 - 4 Units Top Unit, Unheated Basement, No Attic, No Garage|Multi-Family with 2 - 4 Units Top Unit, Unvented Crawlspace, No Attic, No Garage|Multi-Family with 2 - 4 Units Top Unit, Vented Crawlspace, No Attic, No Garage|Multi-Family with 5+ Units Bottom Unit, Slab, No Attic, No Garage|Multi-Family with 5+ Units Bottom Unit, Unheated Basement, No Attic, No Garage|Multi-Family with 5+ Units Bottom Unit, Unvented Crawlspace, No Attic, No Garage|Multi-Family with 5+ Units Bottom Unit, Vented Crawlspace, No Attic, No Garage|Multi-Family with 5+ Units Middle Unit, Slab, No Attic, No Garage|Multi-Family with 5+ Units Middle Unit, Unheated Basement, No Attic, No Garage|Multi-Family with 5+ Units Middle Unit, Unvented Crawlspace, No Attic, No Garage|Multi-Family with 5+ Units Middle Unit, Vented Crawlspace, No Attic, No Garage|Multi-Family with 5+ Units Top Unit, Slab, No Attic, No Garage|Multi-Family with 5+ Units Top Unit, Unheated Basement, No Attic, No Garage|Multi-Family with 5+ Units Top Unit, Unvented Crawlspace, No Attic, No Garage|Multi-Family with 5+ Units Top Unit, Vented Crawlspace, No Attic, No Garage|Single-Family Attached, Heated Basement, Finished Attic, No Garage|Single-Family Attached, Heated Basement, No Attic, No Garage|Single-Family Attached, Heated Basement, Unvented Attic, No Garage|Single-Family Attached, Heated Basement, Vented Attic, No Garage|Single-Family Attached, Slab, Finished Attic, No Garage|Single-Family Attached, Slab, No Attic, No Garage|Single-Family Attached, Slab, Unvented Attic, No Garage|Single-Family Attached, Slab, Vented Attic, No Garage|Single-Family Attached, Unheated Basement, Finished Attic, No Garage|Single-Family Attached, Unheated Basement, No Attic, No Garage|Single-Family Attached, Unheated Basement, Unvented Attic, No Garage|Single-Family Attached, Unheated Basement, Vented Attic, No Garage|Single-Family Attached, Unvented Crawlspace, Finished Attic, No Garage|Single-Family Attached, Unvented Crawlspace, No Attic, No Garage|Single-Family Attached, Unvented Crawlspace, Unvented Attic, No Garage|Single-Family Attached, Unvented Crawlspace, Vented Attic, No Garage|Single-Family Attached, Vented Crawlspace, Finished Attic, No Garage|Single-Family Attached, Vented Crawlspace, No Attic, No Garage|Single-Family Attached, Vented Crawlspace, Unvented Attic, No Garage|Single-Family Attached, Vented Crawlspace, Vented Attic, No Garage|Single-Family Detached, Ambient, Finished Attic, No Garage|Single-Family Detached, Ambient, No Attic, No Garage|Single-Family Detached, Ambient, Unvented Attic, No Garage|Single-Family Detached, Ambient, Vented Attic, No Garage|Single-Family Detached, Heated Basement, Finished Attic, 1 Car Garage|Single-Family Detached, Heated Basement, Finished Attic, 2 Car Garage|Single-Family Detached, Heated Basement, Finished Attic, 3 Car Garage|Single-Family Detached, Heated Basement, Finished Attic, No Garage|Single-Family Detached, Heated Basement, No Attic, 1 Car Garage|Single-Family Detached, Heated Basement, No Attic, 2 Car Garage|Single-Family Detached, Heated Basement, No Attic, 3 Car Garage|Single-Family Detached, Heated Basement, No Attic, No Garage|Single-Family Detached, Heated Basement, Unvented Attic, 1 Car Garage|Single-Family Detached, Heated Basement, Unvented Attic, 2 Car Garage|Single-Family Detached, Heated Basement, Unvented Attic, 3 Car Garage|Single-Family Detached, Heated Basement, Unvented Attic, No Garage|Single-Family Detached, Heated Basement, Vented Attic, 1 Car Garage|Single-Family Detached, Heated Basement, Vented Attic, 2 Car Garage|Single-Family Detached, Heated Basement, Vented Attic, 3 Car Garage|Single-Family Detached, Heated Basement, Vented Attic, No Garage|Single-Family Detached, Slab, Finished Attic, 1 Car Garage|Single-Family Detached, Slab, Finished Attic, 2 Car Garage|Single-Family Detached, Slab, Finished Attic, 3 Car Garage|Single-Family Detached, Slab, Finished Attic, No Garage|Single-Family Detached, Slab, No Attic, 1 Car Garage|Single-Family Detached, Slab, No Attic, 2 Car Garage|Single-Family Detached, Slab, No Attic, 3 Car Garage|Single-Family Detached, Slab, No Attic, No Garage|Single-Family Detached, Slab, Unvented Attic, 1 Car Garage|Single-Family Detached, Slab, Unvented Attic, 2 Car Garage|Single-Family Detached, Slab, Unvented Attic, 3 Car Garage|Single-Family Detached, Slab, Unvented Attic, No Garage|Single-Family Detached, Slab, Vented Attic, 1 Car Garage|Single-Family Detached, Slab, Vented Attic, 2 Car Garage|Single-Family Detached, Slab, Vented Attic, 3 Car Garage|Single-Family Detached, Slab, Vented Attic, No Garage|Single-Family Detached, Unheated Basement, Finished Attic, 1 Car Garage|Single-Family Detached, Unheated Basement, Finished Attic, 2 Car Garage|Single-Family Detached, Unheated Basement, Finished Attic, 3 Car Garage|Single-Family Detached, Unheated Basement, Finished Attic, No Garage|Single-Family Detached, Unheated Basement, No Attic, 1 Car Garage|Single-Family Detached, Unheated Basement, No Attic, 2 Car Garage|Single-Family Detached, Unheated Basement, No Attic, 3 Car Garage|Single-Family Detached, Unheated Basement, No Attic, No Garage|Single-Family Detached, Unheated Basement, Unvented Attic, 1 Car Garage|Single-Family Detached, Unheated Basement, Unvented Attic, 2 Car Garage|Single-Family Detached, Unheated Basement, Unvented Attic, 3 Car Garage|Single-Family Detached, Unheated Basement, Unvented Attic, No Garage|Single-Family Detached, Unheated Basement, Vented Attic, 1 Car Garage|Single-Family Detached, Unheated Basement, Vented Attic, 2 Car Garage|Single-Family Detached, Unheated Basement, Vented Attic, 3 Car Garage|Single-Family Detached, Unheated Basement, Vented Attic, No Garage|Single-Family Detached, Unvented Crawlspace, Finished Attic, 1 Car Garage|Single-Family Detached, Unvented Crawlspace, Finished Attic, 2 Car Garage|Single-Family Detached, Unvented Crawlspace, Finished Attic, 3 Car Garage|Single-Family Detached, Unvented Crawlspace, Finished Attic, No Garage|Single-Family Detached, Unvented Crawlspace, No Attic, 1 Car Garage|Single-Family Detached, Unvented Crawlspace, No Attic, 2 Car Garage|Single-Family Detached, Unvented Crawlspace, No Attic, 3 Car Garage|Single-Family Detached, Unvented Crawlspace, No Attic, No Garage|Single-Family Detached, Unvented Crawlspace, Unvented Attic, 1 Car Garage|Single-Family Detached, Unvented Crawlspace, Unvented Attic, 2 Car Garage|Single-Family Detached, Unvented Crawlspace, Unvented Attic, 3 Car Garage|Single-Family Detached, Unvented Crawlspace, Unvented Attic, No Garage|Single-Family Detached, Unvented Crawlspace, Vented Attic, 1 Car Garage|Single-Family Detached, Unvented Crawlspace, Vented Attic, 2 Car Garage|Single-Family Detached, Unvented Crawlspace, Vented Attic, 3 Car Garage|Single-Family Detached, Unvented Crawlspace, Vented Attic, No Garage|Single-Family Detached, Vented Crawlspace, Finished Attic, 1 Car Garage|Single-Family Detached, Vented Crawlspace, Finished Attic, 2 Car Garage|Single-Family Detached, Vented Crawlspace, Finished Attic, 3 Car Garage|Single-Family Detached, Vented Crawlspace, Finished Attic, No Garage|Single-Family Detached, Vented Crawlspace, No Attic, 1 Car Garage|Single-Family Detached, Vented Crawlspace, No Attic, 2 Car Garage|Single-Family Detached, Vented Crawlspace, No Attic, 3 Car Garage|Single-Family Detached, Vented Crawlspace, No Attic, No Garage|Single-Family Detached, Vented Crawlspace, Unvented Attic, 1 Car Garage|Single-Family Detached, Vented Crawlspace, Unvented Attic, 2 Car Garage|Single-Family Detached, Vented Crawlspace, Unvented Attic, 3 Car Garage|Single-Family Detached, Vented Crawlspace, Unvented Attic, No Garage|Single-Family Detached, Vented Crawlspace, Vented Attic, 1 Car Garage|Single-Family Detached, Vented Crawlspace, Vented Attic, 2 Car Garage|Single-Family Detached, Vented Crawlspace, Vented Attic, 3 Car Garage|Single-Family Detached, Vented Crawlspace, Vented Attic, No Garage",Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.utility_bill_fuel_oil_fixed_charges,string,$/month,"Fuel oil utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list",,Numeric: provide value in units from TSV; use NaN/blank to trigger missing handling.
ResStock,in.geometry_building_number_units_mf,string,n/a,Number of units in the multifamily building in which the dwelling unit is located,10|11|116|12|13|14|15|16|17|18|183|19|2|20|24|3|30|326|36|4|43|5|6|67|7|8|9|None,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.ceiling_fan,string,n/a,Presence and energy usage of ceiling fans at medium speed,"None|Standard Efficiency|Standard Efficiency, No usage",Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.hvac_heating_efficiency,string,n/a,Presence and efficiency of primary heating system,"ASHP, SEER 10, 6.2 HSPF|ASHP, SEER 13, 7.7 HSPF|ASHP, SEER 15, 8.5 HSPF|Electric Baseboard, 100% Efficiency|Electric Boiler, 100% AFUE|Electric Furnace, 100% AFUE|Electric Wall Furnace, 100% AFUE|Fuel Boiler, 76% AFUE|Fuel Boiler, 80% AFUE|Fuel Boiler, 90% AFUE|Fuel Furnace, 60% AFUE|Fuel Furnace, 76% AFUE|Fuel Furnace, 80% AFUE|Fuel Furnace, 92.5% AFUE|Fuel Wall/Floor Furnace, 60% AFUE|Fuel Wall/Floor Furnace, 68% AFUE|MSHP, SEER 14.5, 8.2 HSPF|MSHP, SEER 29.3, 14 HSPF|None|Shared Heating",Categorical: must match allowable enumerations in TSV or '__MISSING__'.
ResStock,in.tenure,string,n/a,The tenancy (owner or renter) of the household occupying the dwelling unit,Not Available|Owner|Renter,Categorical: must match allowable enumerations in TSV or '__MISSING__'.
