model,scope,floor_area_ft2,average_heating_setpoint_max,hdd50f,comstock_building_type_group,wall_construction_type,hvac_combined_type,average_heating_setpoint_min,census_region_name,heating_setpoint_span_c,hvac_night_variability,year_built,comstock_building_type,average_outdoor_air_fraction,hvac_vent_type,window_to_wall_ratio,heating_fuel,aspect_ratio,hdd65f,boiler_average_efficiency,number_of_stories,floor_area_category,ashrae_iecc_climate_zone_2006,energy_code_followed_during_last_roof_replacement,hvac_system_type,floor_area_m2,energy_code_followed_during_last_hvac_replacement,hvac_heat_type,building_subtype,building_fraction_heated,operating_hours_week,weather_file_2018,cluster_id,window_type,weekday_operating_hours,cdd65f,average_window_shgc,weather_file_tmy3,energy_code_followed_during_last_walls_replacement,year_built_num,energy_code_followed_during_original_building_construction,window_to_wall_ratio_category,cambium_grid_region,hvac_category,census_division_name,county_name,hvac_cool_type,iso_rto_region,state,cluster_name,weekend_operating_hours,vintage,ownership_type,party_responsible_for_operation,purchase_input_responsibility,weekday_opening_time,weekend_opening_time,building_america_climate_zone,hours_heating_setpoint_not_met,is_missing__weekday_operating_hours,is_missing__weekend_operating_hours,is_missing__average_heating_setpoint_max,is_missing__average_heating_setpoint_min,is_missing__hdd65f,is_missing__hvac_system_type,is_missing__window_type,is_missing__weekday_operating_hours..hr,is_missing__weekend_operating_hours..hr,is_missing__average_heating_setpoint_max..c,is_missing__average_heating_setpoint_m.c,is_missing__hours_heating_setpoint_not_met
XGBoost,Cold,0.36014740041743504,0.19540658734987643,0.13863628312760384,0.10511133473859134,0.09130203944254213,0.08626915576498502,0.08590602530539553,0.05831096067976275,0.05681089379560857,0.05404967135364356,0.052100903844245275,0.05098075056884753,0.04748949638887813,0.04707020370079089,0.044138169463070795,0.04179495494482926,0.041502627804846814,0.03744004610999873,0.03186072607234776,0.03166084228437751,0.0252459516563967,0.02469329806204243,0.021528208099696817,0.01945993186782741,0.01702356262912138,0.016022785923928935,0.01593104154594675,0.012515506219144538,0.012051143699598478,0.009259114358664054,0.008664923615988288,0.008374617840516805,0.008366746847484858,0.007856495563800832,0.007224171185115336,0.006583709547830138,0.006580276925604038,0.006237520173413688,0.005317094700148415,0.004582606920848694,0.004554724220917587,0.004374665417423065,0.004236165940605027,0.003934752744041914,0.003221265322101052,0.003018577012742513,0.0026509311233839598,0.00253299173732981,0.002030404374219873,0.0010977250131042502,0.000451644196112275,0.00040834662132368057,0.0002278453378726794,0.0001675850098324463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CatBoost,Cold,0.1899391366771366,0.1469012628102125,0.08954233787544164,0.1676811512370104,0.09671081799638072,0.06931342435073896,0.05753123677196553,0.045195948346931906,0.0824978674126895,0.07689182972654658,0.017378708617458313,0.06634685986370112,0.058345237364721275,0.043524476269659024,0.043590172103571335,0.0502736456305331,0.03627494193044208,0.037863427805213554,0.043946130191505416,0.03405640869117436,0.011732687107108017,0.02195254647713921,0.018584595661676303,0.019300427533376387,0.17256963521295715,0.02093602236100582,0.016291369612336352,0.019153444014167215,0.009347845273286892,0.007416053282395899,0.009690302813288067,0.004486665754018468,0.009209970303084023,0.010216818103888279,0.013578151656990832,0.006273448898519456,0.005821097148704268,0.022612314996439526,0.010186642688069313,0.017615856708608522,0.00581246214170661,0.004232102624197579,0.01642541936095324,0.007583047214280854,0.00455040708080804,0.0061479939669108075,0.012852382706642627,0.0024471362523767817,0.0034107847956805835,0.0033523269520210467,0.0025540931675837246,0.001241883062803221,0.00112436438410891,0.00045779576307787795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,Cold,0.31952630859105513,0.1901458239333676,0.1452912049229101,0.13739291259656022,0.08781240843390005,0.06839219255469672,0.0860449508064053,0.047692487853147864,0.048536841291313366,0.06527394265537435,0.0512753029757472,0.05421448023906246,0.05049281419210762,0.07073973401829135,0.047955997845270326,0.037081931484538165,0.042119992247502167,0.038303924110155894,0.04516713059150118,0.03742311437803725,0.018528006543757324,0.03235588378318697,0.02630276895985563,0.017011876280825598,0.023666786543429512,0.021472955244446635,0.018224765958631043,0.01836160450810548,0.00766224695891052,0.014995981933886779,0.009367939100390547,0.009664863223246112,0.008571972690733932,0.0039627350910771755,0.010240464843399863,0.00460601059854948,0.007852333414646964,0.01061603786231205,0.006110041917219901,0.006265269919238862,0.004120675143264292,0.00577519498035834,0.00619262225291006,0.003392609314595768,0.0059288717517141185,0.009238134284277562,0.003960488347418225,0.0027367157853924293,0.003763337250420701,0.002500785448402884,0.0030093737043029732,0.0015493594144547333,0.0010038599151978597,0.0008272571008332012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stacking,Cold,98.12809219067256,57.53453198863508,38.80847321224078,99.39652169817654,14.176174422365243,8.791951550474804,25.5414844131217,9.280030055397766,11.803992268587375,32.85832788082836,5.1684763899816515,24.936674503796223,19.15410246806081,7.260388067973926,10.590360879900691,9.775654221382656,8.446908433870027,9.157139783389582,9.628573441658016,4.234779742617124,4.633988823881998,3.356925355069643,2.3643941772288644,3.837335529542779,64.24948081998025,6.003515758729931,5.876133895759101,8.673953775754557,1.992379431330036,2.6197159542709154,1.3506169317994963,2.1917102269900766,1.1416330395454413,2.2770604320287244,2.4216916510100632,2.112290190703915,1.2117795738089188,3.1861818813555773,2.161746689502796,2.972612005419777,2.196853043753681,2.0144110271717186,2.4214667816438835,1.018909087563449,1.7476632347497545,2.542336877195556,1.1277143195854291,1.6537310704171446,3.5017167879303566,2.5088668419164217,0.9790479695712024,2.398519227551524,1.1596190750794795,2.1410209447643473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,global,0.260186940859699,0.22088598369458112,0.24688573334462777,0.1388461526442248,0.09145203180873421,0.04894916290741451,0.0996588942030783,0.042419358644198484,0.05075039948669099,0.06425700225623869,0.04427365726497443,0.08445709170781288,0.10261521553867628,0.05233582694690411,0.026156297827872464,0.055114763400551714,0.029953281185704138,0.4143866350826268,0.07722033062331664,0.03607468204182711,0.014340837855022352,0.053663114851274334,0.01581065688710337,0.019556415252529335,0.11506058852616802,0.02816473646726037,0.05902242472104535,0.020989555257967484,0.006585996391169927,0.0075443782459770825,0.008050977896123772,0.02394928194172336,0.011008287646305938,0.006534184978009362,0.03739494468201605,0.007200973679644474,0.00930028207380339,0.01831511152863807,0.0010761741605138202,0.005965537492939729,0.004233198966920117,0.013426955387322845,0.05980508564612161,0.010066819060574975,0.006061925228717983,0.0064275769630118326,0.01580026648006763,0.008717754239700747,0.013453848658260693,0.0005196969919022375,0.0006697968406953988,0.0005651270173840936,0.00010614244768958073,2.4007914571557222e-05,0.0,0.0,0.008809167075225492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CatBoost,global,0.19303702347120444,0.22666265323909904,0.21014756169435875,0.14524169185822644,0.09190433246828915,0.046223139772822094,0.0895893378803765,0.0719118213625005,0.06897836135495261,0.08136753289708643,0.019222484307395295,0.06723020483548905,0.08543839246168344,0.045575590793917445,0.03204667118730456,0.055120610110470425,0.030001897084080645,0.36781030636326995,0.06358012514406715,0.036888825677602155,0.013993819867894556,0.050817661907146115,0.024659282883804375,0.022079679509112857,0.14116170570025113,0.022036465615190806,0.04898203033570503,0.026964892079793794,0.005939426638219195,0.006331073375653877,0.006272619607198548,0.022175130242191626,0.008686941460225089,0.010458684805849125,0.06643481841611724,0.007978192710419744,0.004622524889890269,0.01393375748668804,0.013211230066543067,0.011440697826464919,0.0024459379385258174,0.026689027202581806,0.043787899033160674,0.0037363085781309505,0.009606499862196428,0.023246522517359737,0.035918208057404886,0.005882644546951173,0.012647366109089963,0.0017811495629195492,0.000913354569680368,7.175462458311794e-05,0.00013272739852836812,2.0938324171361367e-05,0.0,0.0,0.006221558287752551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,global,0.27704635359887303,0.22446901402885386,0.3016790138961269,0.1382457866897143,0.09192414366322595,0.06098776971251781,0.10155856520390032,0.048197739636684445,0.037901706879759814,0.05658198164852694,0.0391195602649955,0.09259018652811106,0.10257619234569826,0.054117205437502126,0.025378133620847825,0.04955293777435996,0.03112831132691707,0.34808187260076745,0.0731718736903076,0.0337891467990738,0.01400701537606874,0.06128195732244675,0.018635108482434513,0.0309824392737715,0.07151568413887965,0.024190594268540658,0.05040476306532124,0.021542468071254307,0.005337899629256898,0.00575794269912531,0.007289285191536427,0.015576193567109707,0.012113969058731496,0.0019281360175386337,0.05150568811563794,0.007989752127098014,0.00924500741744285,0.016687512864640392,0.004097734186509986,0.007599472924793036,0.004051651252008821,0.01586794859571948,0.051581980523669996,0.0070899373300304285,0.006804075782966192,0.011424285224076116,0.01550251513600746,0.003292000871395197,0.011020162010869177,0.0008061944835314995,0.0005678912711711422,0.0007040277011893697,0.0001523824192876874,3.41472895498009e-05,0.0,0.0,0.011056345199694399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stacking,global,18.60827231992435,12.400954100455031,17.46877906290337,9.934903608433999,4.203112982981715,2.629523805394257,5.375431673991461,2.992100423508567,2.393922584770402,5.744087478614047,0.5231503143879472,3.8758093926741553,5.470877505478285,2.6138333127436675,1.1839234070614533,2.018371514960852,1.2702477897823117,20.916395711244917,3.27023448642598,1.6129696941950638,1.4275829085316147,1.2330679371435598,1.069830440456162,1.061336052902153,8.459705855476273,1.3443932778091587,2.8206420232999956,1.307999143323226,0.36921776514276855,0.8462755553650229,0.5487124565448205,0.8634063889006689,0.40500013652197997,0.21766319574895207,2.9254744112994433,0.3974999684879094,0.658980898573416,0.8093713115882164,0.7147359910111394,0.5991550346356794,0.6271868361112721,1.291447772208917,1.0361096984216582,0.5552214641052927,0.6059977814749181,1.1826906021363741,0.89986652497203,0.4294182974666464,0.7397474391612733,0.2975998337614806,0.7576844395499107,0.45793222540718537,0.5090843248000213,0.9408077523644394,0.0,0.0,0.6773983694053853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,Hot_Dry,0.17840478504639484,0.13574246833796275,0.10813800575047003,0.06487633907898066,0.05015862649089391,0.022737509670805126,0.16586651234223823,0.0006061139817316046,0.013652885590481627,0.0620927175168508,0.01627696383981846,0.14823898631915827,0.10537863102253738,0.020214695160864063,0.033931066801236934,0.016521148049883548,0.016529381331864577,0.2968615234591203,0.12288369926721475,0.009547475248414624,0.0200010179396539,0.05089980053256669,0.002232359778028673,0.13089736161554857,0.010325593318018647,0.04480596469726042,0.10655002360186504,0.01688223684563406,0.0003964779893698869,0.004047644482284537,0.00980232476460691,0.17663104136759586,0.006254760578566268,0.003492041164453918,0.012499659216150037,0.021779066821480505,0.014767470381285754,1.7587596192315676e-05,0.0068180916515565545,0.018607590043535006,0.01853182893915462,0.09648371078753992,0.2668230578251396,0.003026265738536442,0.009802323130868894,0.009404862149966345,0.010228341866644484,0.0064240463670289195,0.03468206121681421,0.009094336245977,0.004184052257161534,0.003916766893746556,0.0019619019861987813,0.0015687967528763853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CatBoost,Hot_Dry,0.08966341624782496,0.15431169254897253,0.16033384079278926,0.09763379110974209,0.03767650564665312,0.046475853803527846,0.10517871739817487,0.0011013454222506605,0.0220035890254046,0.09534990867945257,0.005279348180091833,0.08842030379040015,0.10259250644575324,0.07544296710893222,0.023475407091833708,0.03599699829109106,0.01584360471276299,0.2520583573887478,0.14613460849465892,0.00794989384304066,0.007912476719240896,0.0051596893390359775,0.010133621726944275,0.026426786027773087,0.07488149535786573,0.04226357429219807,0.10709276348994347,0.012037666344927207,0.0003575220225529799,0.015003403263333262,0.006962094900080171,0.04925077486713289,0.004527414657883558,0.017285335933599346,0.025935757715971796,0.0138557934434509,0.013837639579019173,0.010678045416994918,0.0030174702577150003,0.01118752588245839,0.02752938195234778,0.0778586737082009,0.17076120300544678,0.054521406102903604,0.01679621121293468,0.036718430184908515,0.019299419727822925,0.018338532790334327,0.08050750683229359,0.0017671405924881258,0.0067901996687803135,0.0034859537234356456,0.0007737770252251575,0.0023518848403621933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
