model,scope,calculated_shd,in.comstock_building_type,in.state_name,infiltration_x_HDD,in.hvac_category,out.params.hdd50f,in.hvac_heat_type,out.params.hdd65f,ventilation_load_proxy,floor_area_m2,out.params.average_outdoor_air_fraction,HDD65_x_UA_per_area,UA_total,UA_per_area,in.window_to_wall_ratio_category,in.wall_construction_type,in.interior_lighting_generation,operating_hours_week,in.window_type,in.number_of_stories,in.year_built,in.building_subtype,infiltration_to_UA_ratio,in.weekday_opening_time..hr,in.rotation..degrees,in.weekend_opening_time..hr,is_very_cold
catboost,global,0.22477476411814448,0.22182730245907878,0.2194126836326853,0.17769856262344055,0.16798022982351019,0.1658908605022465,0.15870201932572295,0.132431087117668,0.12092256505407806,0.09585570037279832,0.0944161026080629,0.07671129811085538,0.05224080702697738,0.049239998684954656,0.048532896352713024,0.02714081304379008,0.024160170635725748,0.02187674292768599,0.020200507402411166,0.019464528059125796,0.018932031551000233,0.0156733804761889,0.009885464405818384,0.009383680363598695,0.009231940215170138,0.0018704879713307202,0.0
catboost,zone_Cold_and_Very_Cold,0.16286682003541278,0.24308772652524285,0.07522345025196876,0.13458679227015266,0.11081293635849572,0.07058507083863186,0.06962148596860597,0.03508994963668428,0.08014085202034613,0.1399321280889502,0.08042013154622857,0.04649382198686873,0.0379990876836233,0.034737799269655915,0.0484467978339821,0.014513182424372582,0.01596245581196194,0.013286420049919475,0.02102517794239457,0.022073695967379653,0.01318624434126171,0.011838358764744119,0.005183314193811858,0.005888598815467525,0.006826277153666295,0.002076902741760359,0.0023823314849617393
catboost,zone_Hot-Dry,0.15064971184346646,0.17827396707005594,0.41913925480046704,0.10889500938230141,0.3246673039471476,0.06061714733539817,0.19186516584138422,0.23685491491749047,0.11802753615440585,0.061959489954589025,0.12131654520273899,0.05539443674357832,0.038737468199677355,0.021434558824074156,0.0672817671198821,0.022931768522835346,0.021922714941043826,0.039014723369368016,0.015044111965227966,0.007082083792115695,0.021451302038104015,0.022462968861327193,0.007471423716845144,0.008170640063717507,0.008024825580258318,0.006342224077664642,0.0
catboost,zone_Hot-Humid,0.08417701194482653,0.3160910865522234,0.0958408051316554,0.16177416867423292,0.19061209967381607,0.12293027937228541,0.1498843758727614,0.21633192154266848,0.1659774077915027,0.06728149530709632,0.12274976510973112,0.1375104487933938,0.057751756493907506,0.058165755886357466,0.031160184172184028,0.048621705213921014,0.027523929203690792,0.027070858466770112,0.014129044984663178,0.03196426136763173,0.02573879822413137,0.02100962543266383,0.009446639473922203,0.018809682719677773,0.01910196239006646,0.005176688910441195,0.0
catboost,zone_Marine,0.20448944503044247,0.22674598753224717,0.17433969441741826,0.07608997146019446,0.23775193881092876,0.03819914016558132,0.19144770398869043,0.05411519702068741,0.12245700299867937,0.08413540255675446,0.10099831928993798,0.027276322029029923,0.024831350707367396,0.01860779688925701,0.0895617000894561,0.015976132017109835,0.018910242602732177,0.033701492420340796,0.023776190516407038,0.023561089347156387,0.01588290133827126,0.011935878298973572,0.011755600353105524,0.006865940577301779,0.0067186295849981734,0.005248074214244742,0.0
catboost,zone_Mixed-Dry,0.1701575493363113,0.21809282172034225,0.19037769962072734,0.1694981745900283,0.11068149721815039,0.07756924561361644,0.06544351521584472,0.05816564786709823,0.1315368410051485,0.06419192684603929,0.13877480402003115,0.03946371690645815,0.10674187647902757,0.0468074295212377,0.05752692941102714,0.020547151564336334,0.017449513560532426,0.025561114252170163,0.01599187685118392,0.01268325056858133,0.02626683554163383,0.015819024239075802,0.0149666165701623,0.01532634796770034,0.02113940202749113,0.012499216887117108,0.0
catboost,zone_Mixed-Humid,0.16809847566587355,0.2674609913882897,0.07439728627421639,0.15427245727516786,0.09844401089141994,0.07348606191791737,0.14773163487968546,0.05698633336538811,0.09385352526304416,0.13463699127801132,0.12904429211695181,0.06309978917363529,0.03153149298511573,0.020246391400842403,0.054780096190997336,0.020482297903584554,0.0214522321267543,0.011506820528828015,0.022599471962459608,0.024622922949129745,0.018526455813374518,0.013380035466018307,0.005660215530185832,0.01213959940207539,0.011475140198196704,0.0009047540313027705,0.0
lightgbm,global,0.2194812549767171,0.2030117290265855,0.19575124119539944,0.18445724676837785,0.1510131440137077,0.20947297569870726,0.217719770937362,0.3022584124243759,0.2600325990129022,0.09652113189028216,0.1887949312647775,0.07042487320308721,0.05435710567099754,0.03757625391221884,0.07858832766250323,0.028158089667891815,0.03465343445592185,0.0287534629097426,0.03561485353761323,0.018154408624778233,0.01790099166179982,0.015046627757641302,0.008397273848333291,0.011098881102308805,0.01081042912175086,0.003947178524498676,0.0
lightgbm,zone_Cold_and_Very_Cold,0.166491880037321,0.35137816910775677,0.10793477914839905,0.13680392717176595,0.08014334928763747,0.08079702647703112,0.11237236126645299,0.029357588283146004,0.1068231160463826,0.16075437797819195,0.14604444361754051,0.06081330232706291,0.02813602832872466,0.022296001923297927,0.06645397430440503,0.012915183585472279,0.029701994949324267,0.016206361115826066,0.033512283479862535,0.023752284644448986,0.017423537868255196,0.011093785063471638,0.0046410133296164195,0.006665655340343866,0.008642656092229166,0.0035070109203944595,0.001675458220853683
lightgbm,zone_Hot-Dry,0.15352762735657155,0.22728608298488256,0.42260929255421004,0.10662712114681942,0.38129023842945375,0.09793321237053756,0.2950354143010449,0.3003079901792208,0.13171125253615346,0.056998260521994026,0.17381575141910907,0.05038402421341283,0.04015185330281217,0.0242108620975825,0.10364296901622042,0.030031326089567725,0.03315240032303506,0.041939209831198906,0.03675562106277587,0.006452212456493612,0.017617259075805698,0.017537806431479255,0.00953196584773277,0.009146333350476273,0.012956361745918655,0.007449200971588163,0.0
